Country,Number of Peer
ID,2
LT,66
RU,272
US,2530
CH,147
CN,404
DE,1960
NL,495
IN,72
SG,318
HK,161
GB,356
FR,687
JP,246
TW,13
GT,1
PL,69
NO,48
CA,392
,234
ZA,28
KR,200
ES,73
BR,81
TH,22
AU,168
SE,105
IL,22
UA,94
MY,18
IE,107
GR,22
IR,3
MX,12
HU,24
CZ,75
FI,122
BE,40
BG,68
DK,22
NZ,20
LU,12
AR,24
RO,70
AT,59
EE,13
VN,5
CR,4
SI,28
CL,6
BY,49
LV,12
PT,8
SK,22
AE,5
TR,16
HR,6
IT,70
MO,1
VE,7
IS,6
MD,7
PA,2
KZ,8
FO,1
MK,1
CO,6
SC,5
GE,4
AM,3
AL,1
KG,4
ME,1
GG,1
RE,1
EC,2
IM,1
CY,3
CW,3
KE,3
BZ,1
UY,4
QA,2
KH,2
SM,1
AD,1
DO,1
BO,1
GI,1
TT,1
PH,3
RS,3
VI,1
PR,1
MC,1
VG,1
AO,1
BM,1
PE,1
LI,1
JE,1
NG,1
